left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,probe_resp.keys,probe_resp.rt,response_ori,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
97,22,59,2,"[25,45] degrees",neutral,0.4,-17,22,anticlockwise,-20,-38,,,,,,,,,,,,,0,15,15,90,,,,,,,,,,,,,,,,,265.82592643308453,None,265.82592643308453,None,space,1.57719314401038,-94.7801629646377,267.42711236304604,None,,,,,,,261.42472430109046,None,261.42472430109046,262.1737023170572,261.42472430109046,262.1737023170572,262.82563120906707,None,262.82563120906707,263.5756729320856,262.82563120906707,263.5756729320856,264.2259370170068,264.42583740502596,264.2259370170068,None,267.92731956486824,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
34,179,58,203,"[25,45] degrees",neutral,0.4,163,179,clockwise,24,24,,,,,,,,,,,,,0,16,16,58,,,,,,,,,,,,,,,,,272.31668510008603,None,272.31668510008603,None,space,1.7232298370217904,-94.7801629646377,274.06202620407566,None,,,,,,,267.9270895990776,None,267.9270895990776,268.6773726820247,267.9270895990776,268.6773726820247,269.3273653560318,None,269.3273653560318,270.07740599510726,269.3273653560318,270.07740599510726,270.7169040730223,270.9108789640013,270.7169040730223,None,274.5621664298349,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
82,48,105,70,"[25,45] degrees",left,-0.4,107,82,clockwise,23,22,,,,,,,,,,,,,0,17,17,37,,,,,,,,,,,,,,,,,278.96342043508776,None,278.96342043508776,None,space,1.3875740080839023,-94.7801629646377,280.3804107370088,None,,,,,,,274.5619490580866,None,274.5619490580866,275.3123391090194,274.5619490580866,275.3123391090194,275.9624622371048,None,275.9624622371048,276.71121749002486,275.9624622371048,276.71121749002486,277.36310934403446,277.56288264808245,277.36310934403446,None,280.8803547958494,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
68,146,28,113,"[25,45] degrees",right,0.4,120,146,anticlockwise,-33,-40,,,,,,,,,,,,,0,18,18,119,,,,,,,,,,,,,,,,,285.2815041890135,None,285.2815041890135,None,space,1.8643308560131118,-94.7801629646377,287.15411966107786,None,,,,,,,280.8806640560506,None,280.8806640560506,281.62942792708054,280.8806640560506,281.62942792708054,282.27934343600646,None,282.27934343600646,283.03107462101616,282.27934343600646,283.03107462101616,283.6813579821028,283.88130382006057,283.6813579821028,None,287.6660016388749,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
102,155,82,130,"[25,45] degrees",left,-0.4,89,102,anticlockwise,-20,-25,,,,,,,,,,,,,0,19,19,69,,,,,,,,,,,,,,,,,292.0562396340538,None,292.0562396340538,None,space,2.6269786219345406,-94.7801629646377,294.70086280000396,None,,,,,,,287.6656955271028,None,287.6656955271028,288.4160602201009,287.6656955271028,288.4160602201009,289.06627091311384,None,289.06627091311384,289.8163795840228,289.06627091311384,289.8163795840228,290.4577606130624,290.6666023810394,290.4577606130624,None,295.2011586259003,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
172,70,136,26,"[25,45] degrees",left,-0.4,168,172,anticlockwise,-36,-44,,,,,,,,,,,,,0,20,20,73,,,,,,,,,,,,,,,,,299.60234659106936,None,299.60234659106936,None,space,4.463074452942237,-94.7801629646377,304.0870164480293,None,,,,,,,295.20130303606857,None,295.20130303606857,295.9502544950228,295.20130303606857,295.9502544950228,296.6015752160456,None,296.6015752160456,297.3516635770211,296.6015752160456,297.3516635770211,298.00200137507636,298.20233633799944,298.00200137507636,None,304.58691961284495,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
57,124,13,95,"[25,45] degrees",neutral,-0.4,99,57,anticlockwise,-44,-29,,,,,,,,,,,,,0,21,21,80,,,,,,,,,,,,,,,,,308.9883637520252,None,308.9883637520252,None,space,2.6823506279615685,-94.7801629646377,311.67743911303114,None,,,,,,,304.5869390279986,None,304.5869390279986,305.33710829610936,304.5869390279986,305.33710829610936,305.9875066090608,None,305.9875066090608,306.73652024404146,305.9875066090608,306.73652024404146,307.38816660502926,307.58811030210927,307.38816660502926,None,312.1766075478052,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
178,27,151,-8,"[25,45] degrees",right,0.4,14,27,anticlockwise,-35,-27,,,,,,,,,,,,,0,22,22,91,,,,,,,,,,,,,,,,,316.56427907710895,None,316.56427907710895,None,space,3.3187916229944676,-94.7801629646377,319.9080803390825,None,,,,,,,312.170833470067,None,312.170833470067,312.9228322020499,312.170833470067,312.9228322020499,313.572881068103,None,313.572881068103,314.32301433209796,313.572881068103,314.32301433209796,314.9733890100615,315.17285777803045,314.9733890100615,None,320.40771422385006,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
5,109,26,152,"[25,45] degrees",left,-0.4,50,5,clockwise,21,43,,,,,,,,,,,,,0,23,23,29,,,,,,,,,,,,,,,,,324.8092172520701,None,324.8092172520701,None,space,3.286037527024746,-94.7801629646377,328.12714599911124,None,,,,,,,320.408468964044,None,320.408468964044,321.15724960609805,320.408468964044,321.15724960609805,321.80715877900366,None,321.80715877900366,322.55899433000013,321.80715877900366,322.55899433000013,323.2090701770503,323.409231837024,323.2090701770503,None,328.62721684785794,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
134,70,177,105,"[25,45] degrees",left,-0.4,169,134,clockwise,43,35,,,,,,,,,,,,,0,24,24,17,,,,,,,,,,,,,,,,,333.02864797611255,None,333.02864797611255,None,space,2.4460902960272506,-94.7801629646377,335.4958666890161,None,,,,,,,328.6269837510772,None,328.6269837510772,329.37754661310464,328.6269837510772,329.37754661310464,330.02749316301197,None,330.02749316301197,330.76522626308724,330.02749316301197,330.76522626308724,331.4280775550287,331.6269232040504,331.4280775550287,None,335.9960155699053,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
